row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area
410,312.1586027,11.691304,87823.35
411,509.2864378,11.691304,200475.3
412,308.2939964,11.729347,79334.55
413,470.3833219,11.729347,101857.3
414,480.3074681,11.729347,289236.9
415,277.2156964,11.758896,722160.4
416,454.291891,11.758896,156174.25
417,312.1586027,11.792949,53234.727
418,599.3176193,11.792949,180258.22
419,508.3390516,11.822502,185914.48
420,532.3470579,11.822502,201998.19
421,277.2157036,11.852,540568.3
422,353.2677217,11.852,307512.4
423,404.2999413,11.852,21434.174
424,556.3024583,11.852,92300.16
425,496.3388059,11.888408,685508.8
426,672.4148772,11.888408,162395.86
427,351.2520568,11.918042,192275.39
428,369.2626604,11.918042,97972.41
429,391.2446269,11.918042,100438.96
430,454.291778,12.016809,1828767
431,351.2520785,12.053428,112161.516
432,369.2626871,12.053428,200707.39
433,373.2575571,12.053428,120595.8
434,391.2445329,12.053428,116141.33
435,399.3573444,12.053428,204492.02
436,371.2783826,12.180313,95114.89
437,493.3524086,12.180313,86471.47
438,496.3385607,12.180313,1.02E+07
439,518.3205971,12.180313,359078.12
440,534.2944367,12.180313,370856.56
441,449.3261455,12.214252,119045.66
442,698.4307833,12.214252,128924.86
443,427.3129856,12.243852,124222.29
444,277.21575,12.273385,212873.86
445,472.398932,12.273385,174555.73
446,485.2865499,12.310228,304839.78
447,522.3546237,12.310228,552220.56
448,704.5139503,12.339759,127021.11
449,369.2625952,12.37236,184298.4
450,616.4615815,12.37236,145633.45
451,417.2389089,12.401851,518932.4
452,435.2495805,12.401851,536840.75
453,572.4355238,12.401851,144362.08
454,480.3074376,12.431271,688035.4
455,528.4096606,12.431271,137086.02
456,534.3625262,12.431271,282695.62
457,539.3178583,12.431271,177530.22
458,440.3572778,12.49634,150055.5
459,279.2311442,12.52551,1.08E+07
460,327.0771379,12.52551,320594.22
461,557.4553313,12.52551,151903.81
462,522.3542814,12.559301,6962958
463,544.33622,12.559301,602790.56
464,560.3099988,12.559301,301433.7
465,261.2205555,12.588309,132676.72
466,374.1759433,12.588309,86212.234
467,263.2362548,12.654541,496350.8
468,355.2831861,12.654541,1098426.8
469,402.3568264,12.654541,127548.83
470,534.3625577,12.654541,3965915.8
471,539.3178047,12.654541,1153097
472,548.3780457,12.654541,393921.53
473,555.2917356,12.654541,845409.3
474,295.226329,12.717298,84105.234
475,195.1376885,12.777087,42531.344
476,387.2731625,12.777087,34125.777
477,279.231386,12.809665,1189747.8
478,468.3078334,12.809665,64257.785
479,498.3419675,12.809665,79097.7
480,868.5189322,12.809665,362191.97
481,231.1375562,12.839348,46375.766
482,295.2263433,12.839348,347517.56
483,850.5090608,12.839348,127889.42
484,884.5127922,12.933759,71448.18
485,179.1426458,12.96561,144807.45
486,277.2156192,12.96561,1416580
487,295.2260951,12.96561,1576156
488,317.2079958,12.96561,400601.25
489,333.1817344,12.96561,241310.53
490,510.3546882,12.96561,213080.56
491,399.2498517,13.024978,177097.53
492,332.3303501,13.06138,226852.6
493,295.2260757,13.090755,2889164.8
494,393.2390479,13.090755,605778.2
495,249.2206338,13.153868,44334.97
496,277.2156619,13.153868,2138406
497,295.2261449,13.153868,1654666
498,317.2080267,13.153868,671178.2
499,326.2681834,13.153868,181226.14
500,333.1817779,13.153868,360633.12
501,611.4268389,13.153868,104878.125
502,205.194801,13.183671,161920.12
503,882.5351244,13.183671,157110
504,259.1900702,13.216776,43447.336
505,456.3316718,13.276747,24220.492
506,852.523661,13.31057,1724838.5
507,277.2155818,13.339788,1742709.5
508,295.2259819,13.339788,3322853
509,317.2078948,13.339788,467275.7
510,510.3626652,13.339788,1042826.1
511,515.3180865,13.339788,503432.16
512,531.2918588,13.339788,342568.84
