row ID,row m/z,row retention time
36,435.1575672,11.98
38,859.6043705,17.14
38,859.6043705,17.34
39,393.296922,16.98
39,393.296922,16.87
40,413.2661726,16.81
40,413.2661726,16.82
41,348.9896793,12.08
41,348.9896793,12.19
42,406.3285404,16.5
42,406.3285404,16.57
43,350.9866313,12.08
44,277.1407871,11.36
44,277.1407871,11.54
45,425.2139847,14.81
45,425.2139847,14.88
47,365.1930984,15.28
47,365.1930984,15.36
48,236.1616207,16.58
48,236.1616207,16.66
49,317.172154,12.44
49,317.172154,12.56
50,302.3050266,13.05
50,302.3050266,13.07
51,238.1411315,9.46
51,238.1411315,9.73
52,301.1407605,14.09
52,301.1407605,14.17
53,497.3955836,18.14
55,254.1724319,9.58
55,254.1724319,9.81
56,116.9857483,11.66
56,116.9857483,11.59
57,301.1408148,13.97
57,301.1408148,14.04
58,325.23425,15.56
59,116.985714,11.97
59,116.985714,11.98
60,116.9857544,11.38
60,116.9857544,11.37
61,569.3839115,17.69
62,457.2702771,17.65
62,457.2702771,17.66
63,509.3963259,17.24
63,509.3963259,17.29
64,394.3287509,14.86
64,394.3287509,15.01
65,299.1617272,12.43
65,299.1617272,12.54
67,116.9857925,10.83
67,116.9857925,10.88
68,340.3571702,17.57
68,340.3571702,17.66
70,116.9857625,10.69
70,116.9857625,10.69
71,116.9857381,11.21
71,116.9857381,11.23
73,116.9857807,9.45
73,116.9857807,9.41
74,441.3335027,16.57
74,441.3335027,16.63
75,229.141103,17.82
75,229.141103,17.83
76,116.985775,11.8
76,116.985775,11.77
77,116.9857979,9.36
77,116.9857979,9.61
78,116.9857483,10.37
78,116.9857483,10.31
79,229.1410904,19.38
79,229.1410904,19.38
80,116.9857772,10.76
80,116.9857772,10.75
81,321.2396954,15.15
81,321.2396954,15.13
82,116.9857458,10.18
82,116.9857458,10.09
83,116.9858048,12.17
83,116.9858048,12.07
85,116.9857483,9.83
85,116.9857483,9.83
86,116.985733,10.31
86,116.985733,10.17
87,229.1410981,18.72
87,229.1410981,18.73
88,229.1411195,17.73
88,229.1411195,17.55
89,312.3256374,17.17
89,312.3256374,17.26
90,229.1410714,19.12
