row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area
3395,323.1465593,0.76278776,0,0,0,0,0,0,0,0,0,613059.2,270609.97,267525.97
3400,157.0834574,0.7676167,0,3151.7627,3218.9175,12158.7705,73729.95,47633.723,54357.312,71435.15,117552.305,152273.72,172660.28,135276.03
3402,175.1228487,0.77034307,0,0,0,0,0,0,11497.69,8254.661,5430.5107,0,0,0
3414,195.1127903,0.7744374,0,0,0,0,0,0,144003.39,124087.22,50087.21,0,0,0
3447,243.1828265,0.78660125,0,13378.191,25230.205,34790.434,24889.406,20579.14,85211.15,74365.766,85132.305,83964.21,124104.23,70074.57
3530,130.0862308,0.8182067,0,0,0,0,0,0,0,58297.12,62386.367,0,0,0
3564,173.0444218,0.829868,0,0,0,0,0,0,0,0,0,776459.2,91346.6,153589.81
3566,329.1231021,0.829868,0,0,0,0,0,0,0,0,0,215351.1,35873.977,67786.805
3580,113.0232069,0.83416367,0,0,0,0,0,0,0,0,0,210903.47,23410.357,40527.94
3605,164.0706238,0.83987975,0,8923.492,222381.48,0,0,0,0,0,0,0,0,0
3619,195.026338,0.8446134,0,0,0,0,0,0,0,0,0,85543.555,0,9211.121
3626,316.2117586,0.8466169,0,432385.34,556319.75,392156.25,133990.73,470142.6,0,0,0,0,0,0
3633,309.1672412,0.84997797,0,0,0,0,0,0,0,0,0,346466.3,114847.53,156177.53
3737,367.1499758,0.8707378,0,0,0,0,0,0,105855.45,80153.59,102382.32,0,0,0
3739,157.5147602,0.8719629,0,5338649,5044531,5551199.5,1.03E+07,1.05E+07,0,0,0,0,0,0
3757,126.0548981,0.87470174,0,0,0,0,0,0,116820.38,91525.11,11119.838,0,0,0
3765,265.1434117,0.87984246,0,0,0,0,0,0,0,0,9044.187,1290399,351621.5,447255.22
3788,311.1828629,0.8899541,0,0,0,0,0,0,0,0,0,263136.47,53163.15,73116.94
3797,108.0442857,0.89333296,0,0,0,0,0,0,75295.08,60169.062,0,0,0,0
3818,128.0705475,0.9013963,0,0,0,0,0,0,0,25833.605,192477.03,0,0,0
3824,105.0697653,0.902735,0,0,0,0,0,0,91038.2,60619.766,36228.082,0,0,0
3833,283.1535576,0.90493417,0,0,0,15338.774,0,0,0,0,0,206514.2,61739.867,85214.625
3859,305.1359717,0.91360587,0,0,0,0,0,0,0,0,0,316778.72,151986.12,169607.27
3884,261.1121443,0.9198592,0,0,0,0,0,0,0,0,0,182202.28,0,0
3943,104.1068736,0.9423712,0,0,0,0,0,0,0,44127.734,0,0,0,0
3980,196.0958602,0.95167154,0,0,0,0,0,0,19196.879,22561.266,85445.15,0,0,0
4016,246.1698961,0.9672761,0,107340.83,56193.836,476275.03,30980.012,18343.258,0,0,0,0,0,0
4021,229.119783,0.9705324,0,0,0,0,0,0,24610.441,20433.844,16413.018,212868.33,0,94234.44
4026,183.1013946,0.9729397,0,24475.828,0,164565.03,24534.738,0,0,0,0,0,0,0
4038,307.1516041,0.97749454,0,0,0,0,0,0,0,0,0,261377.17,0,0
4060,316.2117119,0.9836893,0,347876,1712.1388,556045.25,316477.78,497964.53,0,0,0,0,0,0
4066,205.0971194,0.98717403,0,0,0,0,0,0,107109.46,80795.95,251927.42,0,0,0
4067,146.0600304,0.9877033,0,0,0,0,0,0,87000.625,93331.2,138107.64,14560.095,0,0
4083,316.2121829,0.9921825,0,0,483912.22,0,0,0,0,0,0,0,0,0
4094,188.070567,0.9996532,0,0,0,0,0,0,417121.4,317081.3,1058431,22998.92,0,0
4108,104.106881,1.0069746,0,0,0,0,0,0,55536.04,109101.66,139542.12,0,0,0
4210,274.2013819,1.0415453,0,0,0,304912.34,0,0,0,0,0,0,0,0
4228,335.1117895,1.0502205,0,0,0,0,68339.086,0,0,0,0,297611.56,149317.5,157448.53
4256,307.0940543,1.0619372,0,0,0,0,0,0,0,0,0,160604.3,47775.22,49270.547
